arm,rep,utc_start,wall_s,build_label,build_sha,build_dir,model,models_path,device,path,echo,exit_code,outcome,crash_kind,last_step,result_text_sha256,result_line,ov_version,gpu_driver,tokenizers_submodule,log
base_gemma3_CPU_string_echofalse,3,20260907T173041Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,string,false,0,COMPLETED,none,STEP generate(list[str]),153a2f682829cc4464b334a1b86dabf2a77d28734d310ffa54d7e98e83b542af,RESULT text='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_string_echofalse_rep3_20260907T173041Z.txt
base_gemma3_CPU_chat_history_echofalse,1,20260907T173042Z,0.51,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,false,0,COMPLETED,none,STEP generate(list[ChatHistory]),153a2f682829cc4464b334a1b86dabf2a77d28734d310ffa54d7e98e83b542af,RESULT text='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_chat_history_echofalse_rep1_20260907T173042Z.txt
base_gemma3_CPU_chat_history_echofalse,2,20260907T173042Z,0.55,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,false,0,COMPLETED,none,STEP generate(list[ChatHistory]),153a2f682829cc4464b334a1b86dabf2a77d28734d310ffa54d7e98e83b542af,RESULT text='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_chat_history_echofalse_rep2_20260907T173042Z.txt
base_gemma3_CPU_chat_history_echofalse,3,20260907T173043Z,0.52,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,chat_history,false,0,COMPLETED,none,STEP generate(list[ChatHistory]),153a2f682829cc4464b334a1b86dabf2a77d28734d310ffa54d7e98e83b542af,RESULT text='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_chat_history_echofalse_rep3_20260907T173043Z.txt
base_gemma3_CPU_add_request_echofalse,1,20260907T173044Z,0.5,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,add_request,false,0,COMPLETED,none,STEP finished after 1 step(s),151bba38b945f30c562265c3f2e4af57b0209597b1bfaec7296b6222bea7f7bc,RESULT decoded='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_add_request_echofalse_rep1_20260907T173044Z.txt
base_gemma3_CPU_add_request_echofalse,2,20260907T173044Z,0.5,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,add_request,false,0,COMPLETED,none,STEP finished after 1 step(s),151bba38b945f30c562265c3f2e4af57b0209597b1bfaec7296b6222bea7f7bc,RESULT decoded='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_add_request_echofalse_rep2_20260907T173044Z.txt
base_gemma3_CPU_add_request_echofalse,3,20260907T173045Z,0.5,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,gemma3,model_cache/optimum-intel-internal-testing/tiny-random-gemma3,CPU,add_request,false,0,COMPLETED,none,STEP finished after 1 step(s),151bba38b945f30c562265c3f2e4af57b0209597b1bfaec7296b6222bea7f7bc,RESULT decoded='стрі',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_gemma3_CPU_add_request_echofalse_rep3_20260907T173045Z.txt
base_qwen2vl_CPU_string_echotrue,1,20260907T173045Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),b0216ec9588b0f628aa399475f81bfa79729794d62f14a48cc8750a4ea82f54b,RESULT text='system\nYou are a helpful assistant.\nuser\nUnique sampler prompt sentinel 4368\nassistant\n.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_string_echotrue_rep1_20260907T173045Z.txt
base_qwen2vl_CPU_string_echotrue,2,20260907T173046Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),b0216ec9588b0f628aa399475f81bfa79729794d62f14a48cc8750a4ea82f54b,RESULT text='system\nYou are a helpful assistant.\nuser\nUnique sampler prompt sentinel 4368\nassistant\n.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_string_echotrue_rep2_20260907T173046Z.txt
base_qwen2vl_CPU_string_echotrue,3,20260907T173046Z,0.53,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,string,true,0,COMPLETED,none,STEP generate(list[str]),b0216ec9588b0f628aa399475f81bfa79729794d62f14a48cc8750a4ea82f54b,RESULT text='system\nYou are a helpful assistant.\nuser\nUnique sampler prompt sentinel 4368\nassistant\n.seed',2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_string_echotrue_rep3_20260907T173046Z.txt
base_qwen2vl_CPU_chat_history_echotrue,1,20260907T173047Z,2.34,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,qwen2vl,model_cache/optimum-intel-internal-testing/tiny-random-qwen2vl,CPU,chat_history,true,3221225477,CRASH,access_violation_0xC0000005,STEP generate(list[ChatHistory]),n/a:no_result_line,n/a:no_result_line,2026.5.0.dev20260903,32.0.101.8991,824033c3061d73d50784872248cdb55aa04674aa,artifacts/echo_sweep/base_qwen2vl_CPU_chat_history_echotrue_rep1_20260907T173047Z.txt
