sweep,arm,rep,utc_start,wall_s,build_label,build_sha,build_dir,device,model,models_path,call_path,echo,test_variant,test_file_sha256,tests,outcome,exit_code,crash_kind,last_step,n_tests,n_passed,n_failed,n_skipped,case_outcomes,failure_detail,string_prompt_present,chat_history_prompt_present,add_request_prompt_present,string_result_type,chat_history_result_type,add_request_generated_id_count,add_request_negative_ids,echo_text_sha256,result_text_sha256,result_line,prompt_token_count,load_s,peak_rss_mb,build_type,generator,tokenizers_submodule,ov_version,transformers,optimum_intel,gpu_driver,run_artifact_id
pytest_matrix,A_prhead_shipped_cpu_open,1,20260907T172432Z,7.52,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V0_shipped.py,cd2add486410fa2b8b0719d78df128b2ebb308213161e7af7105ca140798c3a0,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,621.6,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,A_prhead_shipped_cpu_open_rep1_20260907T172432Z.row.json
pytest_matrix,A_prhead_shipped_cpu_open,2,20260907T172439Z,7.51,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V0_shipped.py,cd2add486410fa2b8b0719d78df128b2ebb308213161e7af7105ca140798c3a0,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,620.5,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,A_prhead_shipped_cpu_open_rep2_20260907T172439Z.row.json
pytest_matrix,A_prhead_shipped_cpu_open,3,20260907T172447Z,7.5,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V0_shipped.py,cd2add486410fa2b8b0719d78df128b2ebb308213161e7af7105ca140798c3a0,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,620.5,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,A_prhead_shipped_cpu_open_rep3_20260907T172447Z.row.json
pytest_matrix,A_base_shipped_cpu,1,20260907T172454Z,7.55,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V0_shipped.py,cd2add486410fa2b8b0719d78df128b2ebb308213161e7af7105ca140798c3a0,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,620.1,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,A_base_shipped_cpu_rep1_20260907T172454Z.row.json
pytest_matrix,A_base_shipped_cpu,2,20260907T172502Z,7.52,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V0_shipped.py,cd2add486410fa2b8b0719d78df128b2ebb308213161e7af7105ca140798c3a0,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,621.6,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,A_base_shipped_cpu_rep2_20260907T172502Z.row.json
pytest_matrix,A_base_shipped_cpu,3,20260907T172509Z,8.02,base,c9fff70b9f960bdb0c484fe0c2c1bed9d697bbaf,build/merge_base/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V0_shipped.py,cd2add486410fa2b8b0719d78df128b2ebb308213161e7af7105ca140798c3a0,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,621.7,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,A_base_shipped_cpu_rep3_20260907T172509Z.row.json
pytest_matrix,K_prhead_v1_noenv_cpu,1,20260907T172517Z,7.51,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V1_envparam.py,81b4161dbbb6d2fe28be38981c96b46cbe5e998ca8c19ee156effc861cc9cb4e,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,620.6,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,K_prhead_v1_noenv_cpu_rep1_20260907T172517Z.row.json
pytest_matrix,K_prhead_v1_noenv_cpu,2,20260907T172525Z,7.52,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V1_envparam.py,81b4161dbbb6d2fe28be38981c96b46cbe5e998ca8c19ee156effc861cc9cb4e,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,620.3,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,K_prhead_v1_noenv_cpu_rep2_20260907T172525Z.row.json
pytest_matrix,K_prhead_v1_noenv_cpu,3,20260907T172532Z,7.51,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,MODEL_IDS[0],n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V1_envparam.py,81b4161dbbb6d2fe28be38981c96b46cbe5e998ca8c19ee156effc861cc9cb4e,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,XFAIL_OR_SKIP,0,none,n/a:pytest_matrix,1,0,0,1,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=skipped,AttributeError: 'DynamicCache' object has no attribute 'get_usable_length'. Ticket CVS-175110,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,621.0,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,K_prhead_v1_noenv_cpu_rep3_20260907T172532Z.row.json
pytest_matrix,B_prhead_gemma3_cpu,1,20260907T172540Z,8.02,prhead,e6fced66b1b8ccc685fe9ce8c10f199f5c095418,build/pr_head/,CPU,optimum-intel-internal-testing/tiny-random-gemma3,n/a:selected_by_fixture,n/a:whole_test,true:set_inside_the_test,V1_envparam.py,81b4161dbbb6d2fe28be38981c96b46cbe5e998ca8c19ee156effc861cc9cb4e,test_vlm_pipeline.py::test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request,FAIL,1,none,n/a:pytest_matrix,1,0,1,0,test_vlm_prompt_ids_reach_sampler_for_chat_history_and_add_request=failure,AttributeError: 'openvino_genai.py_openvino_genai.GenerationResult' object has no attribute 'texts',n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest,n/a:pytest_matrix,n/a:pytest_matrix,n/a:pytest,n/a:pytest,798.2,Release,Ninja,824033c3061d73d50784872248cdb55aa04674aa,2026.5.0.dev20260903,5.0.0,2.2.0.dev0+4f1a926,32.0.101.8991,B_prhead_gemma3_cpu_rep1_20260907T172540Z.row.json
